State_Stn_Num Latitude Longitude0
WA_352 47.350 -120.6671292.352
WA_1080 48.917 -121.1831776.984
WA_1107 47.700 -123.4501484.376
WA_375 46.800 -121.3171405.128
WA_376 48.683 -117.1671524
WA_942 47.033 -121.9331271.016
WA_1109 45.900 -122.200762
WA_1085 46.867 -121.5331597.152
WA_418 47.017 -121.4501767.84
WA_420 47.267 -121.667975.36
WA_943 47.867 -123.0671222.248
WA_998 48.850 -121.4331606.296
WA_910 48.683 -121.900926.592
WA_478 47.533 -121.0831045.464
WA_1159 48.950 -118.9831633.728
WA_502 46.533 -121.1671804.416
WA_507 47.267 -120.4831642.872
WA_515 48.717 -120.6501978.152
WA_991 48.967 -121.067515.112
WA_928 47.050 -121.583685.8
WA_1129 45.983 -120.8001633.728
WA_553 46.133 -122.1501048.512
WA_591 46.267 -121.9501197.864
WA_599 46.350 -121.0671560.576
WA_606 48.183 -120.9171822.704
WA_1069 47.200 -121.7671188.72
WA_999 48.750 -121.6831072.896
WA_897 47.267 -121.467984.504
WA_1011 48.817 -121.9171514.856
WA_642 46.900 -121.4671648.968
WA_644 48.350 -119.0671527.048
WA_648 47.750 -123.0171207.008
WA_898 47.350 -121.567890.016
WA_941 46.917 -121.950963.168
WA_672 47.367 -121.4331228.344
WA_679 46.767 -121.7331563.624
WA_681 48.433 -120.9001402.08
WA_1104 46.100 -121.950652.272
WA_692 46.617 -121.3831767.84
WA_699 47.983 -120.5501094.232
WA_702 46.333 -121.5001374.648
WA_707 47.867 -117.0831432.56
WA_711 48.517 -120.7331490.472
WA_911 47.300 -121.6001161.288
WA_728 48.650 -119.8331359.408
WA_734 47.383 -121.0501322.832
WA_1068 47.150 -121.4171414.272
WA_1043 48.850 -118.3831426.464
WA_748 46.183 -122.2501216.152
WA_912 47.683 -121.6001008.888
WA_985 46.233 -117.3831219.2
WA_776 46.167 -121.9171036.32
WA_777 46.250 -122.1671072.896
WA_984 46.167 -117.5331737.36
WA_788 47.267 -121.3331173.48
WA_791 47.733 -121.0831203.96
WA_804 46.083 -121.7501307.592
WA_975 48.567 -120.7671197.864
WA_1012 46.150 -122.1831353.312
WA_817 48.517 -120.9831316.736
WA_899 47.317 -121.467911.352
WA_824 46.117 -117.8501685.544
WA_1171 48.067 -120.833893.064
WA_832 47.217 -120.2831670.304
WA_841 47.283 -120.3671319.784
WA_974 47.933 -123.4171527.048
WA_909 48.850 -121.7831228.344
WA_863 46.633 -121.3671353.312
WY_309 44.800 -107.8332859.024
WY_314 43.933 -110.4332142.744
WY_317 41.050 -107.2502267.712
WY_325 43.883 -107.0502499.36
WY_326 44.933 -109.5672852.928
WY_931 44.567 -107.2002435.352
WY_342 42.633 -109.2502767.584
WY_1119 41.050 -106.7002993.136
WY_350 44.367 -109.7832980.944
WY_353 42.950 -110.6002636.52
WY_358 44.667 -107.5672849.88
WY_367 41.350 -106.2173121.152
WY_377 44.783 -107.5172401.824
WY_379 43.683 -109.6672667
WY_384 44.717 -110.5002398.776
WY_389 42.733 -106.3172407.92
WY_1130 43.667 -109.3672560.32
WY_1046 41.233 -106.2172918.1552
WY_402 44.400 -107.0503005.328
WY_405 43.267 -109.4332935.224
WY_982 44.483 -104.4001801.368
WY_419 42.633 -110.8002337.816
WY_1045 41.217 -105.3672538.984
WY_923 42.583 -108.9002956.56
WY_449 41.300 -107.1502706.624
WY_451 44.567 -107.2832706.624
WY_460 43.117 -110.2002417.064
WY_468 43.000 -109.7502865.12
WY_472 44.650 -109.7832804.16
WY_1082 43.767 -110.9172822.448
WY_497 43.333 -110.4332063.496
WY_499 44.117 -110.8332214.372
WY_501 43.450 -107.2332606.04
WY_506 43.383 -110.1172667
WY_944 43.367 -109.8672993.136
WY_509 42.133 -110.6672389.632
WY_512 44.250 -106.9672548.128
WY_525 42.867 -109.0833078.48
WY_544 42.300 -110.6672872.74
